"activity" "subject" "TimeBodyAccelerometerelerometer.mean...X" "TimeBodyAccelerometerelerometer.mean...Y" "TimeBodyAccelerometerelerometer.mean...Z" "TimeGravityAccelerometerelerometer.mean...X" "TimeGravityAccelerometerelerometer.mean...Y" "TimeGravityAccelerometerelerometer.mean...Z" "TimeBodyAccelerometerelerometerJerk.mean...X" "TimeBodyAccelerometerelerometerJerk.mean...Y" "TimeBodyAccelerometerelerometerJerk.mean...Z" "TimeBodyGyroscopescope.mean...X" "TimeBodyGyroscopescope.mean...Y" "TimeBodyGyroscopescope.mean...Z" "TimeBodyGyroscopescopeJerk.mean...X" "TimeBodyGyroscopescopeJerk.mean...Y" "TimeBodyGyroscopescopeJerk.mean...Z" "TimeBodyAccelerometerelerometerMagnitudenitude.mean.." "TimeGravityAccelerometerelerometerMagnitudenitude.mean.." "TimeBodyAccelerometerelerometerJerkMagnitudenitude.mean.." "TimeBodyGyroscopescopeMagnitudenitude.mean.." "TimeBodyGyroscopescopeJerkMagnitudenitude.mean.." "FrequencyBodyAccelerometerelerometer.mean...X" "FrequencyBodyAccelerometerelerometer.mean...Y" "FrequencyBodyAccelerometerelerometer.mean...Z" "FrequencyBodyAccelerometerelerometer.meanFreq...X" "FrequencyBodyAccelerometerelerometer.meanFreq...Y" "FrequencyBodyAccelerometerelerometer.meanFreq...Z" "FrequencyBodyAccelerometerelerometerJerk.mean...X" "FrequencyBodyAccelerometerelerometerJerk.mean...Y" "FrequencyBodyAccelerometerelerometerJerk.mean...Z" "FrequencyBodyAccelerometerelerometerJerk.meanFreq...X" "FrequencyBodyAccelerometerelerometerJerk.meanFreq...Y" "FrequencyBodyAccelerometerelerometerJerk.meanFreq...Z" "FrequencyBodyGyroscopescope.mean...X" "FrequencyBodyGyroscopescope.mean...Y" "FrequencyBodyGyroscopescope.mean...Z" "FrequencyBodyGyroscopescope.meanFreq...X" "FrequencyBodyGyroscopescope.meanFreq...Y" "FrequencyBodyGyroscopescope.meanFreq...Z" "FrequencyBodyAccelerometerelerometerMagnitudenitude.mean.." "FrequencyBodyAccelerometerelerometerMagnitudenitude.meanFreq.." "FrequencyBodyAccelerometerelerometerJerkMagnitudenitude.mean.." "FrequencyBodyAccelerometerelerometerJerkMagnitudenitude.meanFreq.." "FrequencyBodyGyroscopescopeMagnitudenitude.mean.." "FrequencyBodyGyroscopescopeMagnitudenitude.meanFreq.." "FrequencyBodyGyroscopescopeJerkMagnitudenitude.mean.." "FrequencyBodyGyroscopescopeJerkMagnitudenitude.meanFreq.." "Angle.tBodyAccelerometerelerometerMean.Gravity." "Angle.tBodyAccelerometerelerometerJerkMean..GravityMean." "Angle.tBodyGyroscopescopeMean.GravityMean." "Angle.tBodyGyroscopescopeJerkMean.GravityMean." "Angle.X.GravityMean." "Angle.Y.GravityMean." "Angle.Z.GravityMean." "TimeBodyAccelerometerelerometer.std...X" "TimeBodyAccelerometerelerometer.std...Y" "TimeBodyAccelerometerelerometer.std...Z" "TimeGravityAccelerometerelerometer.std...X" "TimeGravityAccelerometerelerometer.std...Y" "TimeGravityAccelerometerelerometer.std...Z" "TimeBodyAccelerometerelerometerJerk.std...X" "TimeBodyAccelerometerelerometerJerk.std...Y" "TimeBodyAccelerometerelerometerJerk.std...Z" "TimeBodyGyroscopescope.std...X" "TimeBodyGyroscopescope.std...Y" "TimeBodyGyroscopescope.std...Z" "TimeBodyGyroscopescopeJerk.std...X" "TimeBodyGyroscopescopeJerk.std...Y" "TimeBodyGyroscopescopeJerk.std...Z" "TimeBodyAccelerometerelerometerMagnitudenitude.std.." "TimeGravityAccelerometerelerometerMagnitudenitude.std.." "TimeBodyAccelerometerelerometerJerkMagnitudenitude.std.." "TimeBodyGyroscopescopeMagnitudenitude.std.." "TimeBodyGyroscopescopeJerkMagnitudenitude.std.." "FrequencyBodyAccelerometerelerometer.std...X" "FrequencyBodyAccelerometerelerometer.std...Y" "FrequencyBodyAccelerometerelerometer.std...Z" "FrequencyBodyAccelerometerelerometerJerk.std...X" "FrequencyBodyAccelerometerelerometerJerk.std...Y" "FrequencyBodyAccelerometerelerometerJerk.std...Z" "FrequencyBodyGyroscopescope.std...X" "FrequencyBodyGyroscopescope.std...Y" "FrequencyBodyGyroscopescope.std...Z" "FrequencyBodyAccelerometerelerometerMagnitudenitude.std.." "FrequencyBodyAccelerometerelerometerJerkMagnitudenitude.std.." "FrequencyBodyGyroscopescopeMagnitudenitude.std.." "FrequencyBodyGyroscopescopeJerkMagnitudenitude.std.."
"LAYING" 1 0.10566507 -0.056556505 -0.16400991 -0.37807119 -0.4962135 0.86433422 0.045513526 -0.039551765 -0.26607582 -0.044914711 -0.5654908 -0.11690087 -0.16113171 -0.078028966 -0.11128615 -0.98835775 -0.98835775 -0.99406188 -0.99293476 -0.99546753 -0.99430908 -0.98881645 -0.996612 -0.86066873 -0.60661765 -0.27386881 -0.99427119 -0.99451122 -0.99513218 -0.37866281 -0.51422126 -0.4381306 -0.99234807 -0.99356154 -0.99806073 -0.57510705 -0.95221299 -0.19806496 -0.99432894 -0.42867853 -0.99696742 -0.327493 -0.99215561 -0.65129888 -0.99619288 -0.55128103 -0.29906952 -0.91113384 -0.48404223 -0.69579162 0.28149266 -0.23511357 -0.80611688 -0.99480656 -0.99242784 -0.99767288 -0.99938014 -0.99280204 -0.99790974 -0.99429051 -0.99538161 -0.99678079 -0.99501919 -0.99413399 -0.99779165 -0.99439016 -0.99582908 -0.99864498 -0.99186569 -0.99186569 -0.99725365 -0.99147868 -0.99615356 -0.99494239 -0.99417834 -0.99777233 -0.99481459 -0.99703766 -0.99716619 -0.99592726 -0.99449397 -0.99779424 -0.99062661 -0.99735775 -0.9934347 -0.99615186
"LAYING" 2 -0.36120533 -0.68409659 -1 -0.75875146 -0.068420491 -0.33406763 -0.048777316 -0.3848919 -0.24078322 -0.23782482 -0.24323522 -0.098544364 -0.79429092 -0.19322027 -0.31226655 -0.99950449 -0.99950449 -0.99666354 -0.99705625 -0.99906282 -0.99651117 -0.99576167 -0.99753879 -0.91246392 -0.68790455 -0.98451497 -0.99579185 -0.9952737 -0.99675655 -0.40218761 -0.87995111 -0.58193048 -0.99955507 -0.99886212 -0.99679319 -0.79127465 -0.58410024 -0.6427061 -0.99856976 -0.92491884 -0.99699634 -0.59281703 -0.99914259 -0.87814875 -0.99929934 -0.80068355 -0.82704665 -0.77063046 -0.89361926 -0.67549796 0.20575936 -0.81776067 -0.98014271 -0.99677544 -0.99835905 -0.99868915 -0.99962828 -0.99955353 -0.9987835 -0.99543348 -0.99541159 -0.99754911 -0.99960009 -0.99847939 -0.99661541 -0.99981405 -0.99918657 -0.99779685 -0.99900312 -0.99900312 -0.99765669 -0.99904418 -0.99933286 -0.99682163 -0.99919054 -0.99902371 -0.99588563 -0.99592795 -0.99685946 -0.99975804 -0.99865705 -0.99791224 -0.99885683 -0.99746955 -0.9990069 -0.99936052
"LAYING" 3 0.053574526 -0.058075114 -0.19047789 -0.22970755 0.49709595 0.57902879 -0.029583286 -0.40048326 -0.068614437 -0.065834935 -0.59807819 0.054005828 -0.19013968 -0.060985525 -0.14456582 -0.99512234 -0.99512234 -0.9977137 -0.99255594 -0.99802961 -0.99672423 -0.99218067 -0.99565534 -0.68394536 -0.46038479 -0.55010554 -0.99681271 -0.99747001 -0.99879882 -0.35502899 -0.73706463 -0.59137129 -0.99615325 -0.9962917 -0.99937239 -0.46847273 -0.72753022 -0.41384945 -0.99322369 -0.64535519 -0.99790273 -0.46827175 -0.99638161 -0.52209147 -0.99846481 -0.49138884 -0.29063645 -0.48140428 -0.73526959 -0.8444469 0.32026793 -0.55288356 -0.71156792 -0.99643784 -0.99489895 -0.99328898 -0.99805074 -0.99610841 -0.9976798 -0.99673579 -0.99765108 -0.99860718 -0.99770181 -0.99616998 -0.99896497 -0.99731101 -0.99695087 -1 -0.99399427 -0.99399427 -0.99816887 -0.99575643 -0.99836045 -0.99636578 -0.99586473 -0.99305008 -0.99691587 -0.99807818 -0.9976689 -0.99835099 -0.99705879 -0.99881674 -0.99487119 -0.99777177 -0.99584025 -0.99792549
"LAYING" 4 0.23982421 -0.06840145 -0.13887653 -0.32851918 0.75561068 0.35600268 0.042788447 -0.13660312 -0.13814519 -0.11695936 -0.18998582 0.044588357 -0.16121314 -0.070844445 -0.20115156 -0.99896921 -0.99896921 -0.99542995 -0.99835689 -0.99865639 -0.99751962 -0.99592077 -0.99720469 -0.51812037 -0.38837648 -0.42209923 -0.99684372 -0.9942831 -0.99636009 -0.30314623 -0.49418082 -0.45878688 -0.99737119 -0.99882143 -0.99702956 -0.61121853 -0.60214758 -0.27861874 -0.99767138 -0.35224852 -0.99759469 -0.51435386 -0.99844401 -0.60598609 -0.99918523 -0.38931171 -0.46391623 -0.85646248 -0.88852366 -0.86784889 0.36607278 -0.71310184 -0.4677435 -0.99805933 -0.99806717 -0.99723936 -0.99858089 -0.99900796 -0.99853571 -0.99683725 -0.99417146 -0.99704381 -0.9979381 -0.99855571 -0.99746196 -0.99746808 -0.99952103 -0.99734639 -0.99829939 -0.99829939 -0.99798607 -0.99857775 -0.99913036 -0.99834081 -0.99860372 -0.99721106 -0.99710156 -0.9944246 -0.99685647 -0.99822297 -0.99830269 -0.99782183 -0.99847395 -0.99735697 -0.99885412 -0.9989492
"LAYING" 5 0.13587336 -0.040420009 -0.13555202 -0.93673012 0.68374403 0.58566905 0.0050814467 -0.043548414 -0.038101071 -0.29386085 -0.4997898 0.039475876 -0.11823046 -0.064472545 -0.16433776 -0.99720293 -0.99720293 -0.99451661 -0.99640436 -0.99691411 -0.99395984 -0.99464771 -0.99657149 -1 -0.29629302 -0.29678292 -0.99328362 -0.99273597 -0.99592551 -0.3314963 -0.47647394 -0.15544346 -0.99671044 -0.99590685 -0.99471589 -0.29313534 -0.79835998 -0.51753079 -0.99888286 -0.65064409 -0.99659991 -0.49822016 -0.99585238 -0.49109879 -0.99727686 -0.68782781 -0.9459555 -0.86820121 -0.9286461 -0.94361532 0.58836506 -0.58700647 -0.5728028 -0.99549964 -0.99652933 -0.99611598 -0.99956024 -0.99926466 -0.99881886 -0.99394334 -0.99227857 -0.99685796 -0.99783516 -0.99643742 -0.99531824 -0.99568752 -0.99736635 -0.99575968 -0.99890777 -0.99890777 -0.99694532 -0.99688737 -0.99761178 -0.99633031 -0.99681048 -0.99647265 -0.99550786 -0.99220569 -0.9976129 -0.99857215 -0.99677562 -0.99590389 -0.99833793 -0.99590532 -0.99854526 -0.99798677
"LAYING" 6 0.022459037 -0.056728123 -0.13069643 -0.22441875 0.57136295 0.66369649 0.0051670173 -0.085114464 -0.43124371 -0.2288482 -0.63931629 0.02150305 -0.15060428 -0.054457043 -0.1480782 -0.99017 -0.99017 -0.99581046 -0.99238011 -0.99683678 -0.99194889 -0.99403467 -0.99590992 -0.82124227 -0.40288626 -0.43578792 -0.99638952 -0.9955456 -0.99637739 -0.3123129 -0.71334523 -0.55302616 -0.99667995 -0.98913565 -0.99733869 -0.55168368 -0.81955421 -0.25323087 -0.99340153 -0.64445634 -0.9979364 -0.35253484 -0.99179498 -0.59119006 -0.99745051 -0.26790165 -0.59335606 -0.52313508 -0.55329647 -0.92152786 0.24882838 -0.42471507 -0.65004203 -0.99283819 -0.99477017 -0.99332478 -0.99020909 -0.9983043 -0.99538114 -0.99663919 -0.99554376 -0.99742714 -0.99806547 -0.99144796 -0.9973993 -0.99769037 -0.99558641 -0.99852833 -0.99436705 -0.99436705 -0.99813261 -0.99100637 -0.99741966 -0.99314953 -0.99559539 -0.9944769 -0.99727282 -0.99635275 -0.99793894 -0.99858886 -0.99349159 -0.99817085 -0.99510187 -0.99758601 -0.99374271 -0.99754135
"LAYING" 7 0.1702975 -0.058280636 -0.20196594 -0.51237774 0.59676549 0.69194254 -0.074781243 -0.04942599 -0.31696966 -0.18662412 -0.49140262 -0.018426892 -0.1582462 -0.10334533 -0.18211877 -0.99884635 -0.99884635 -0.99624011 -0.99912222 -0.99942053 -0.99601085 -0.99367716 -0.99796673 -0.99175242 -0.53234984 -0.32905931 -0.99564196 -0.99405757 -0.99665816 -0.35171163 -0.69451262 -0.53914548 -0.99832688 -0.99965599 -0.99836419 -0.70959189 -0.9185419 -0.61094274 -0.99960046 -0.57007684 -0.99815455 -0.57023994 -0.99938412 -0.55140125 -0.99931071 -0.59477035 -0.45092588 -0.87232679 -0.62757195 -0.82596321 0.34984867 -0.49041888 -0.63633594 -0.99699705 -0.99664858 -0.99698592 -0.99853129 -0.99914873 -0.99974886 -0.99559727 -0.99425255 -0.99753533 -0.99870923 -0.99941978 -0.99877761 -0.99894627 -1 -0.99792298 -0.99914894 -0.99914894 -0.99852501 -0.99946246 -0.99934512 -0.99748768 -0.9978596 -0.996267 -0.99592127 -0.99508924 -0.99753231 -0.99880132 -0.99951648 -0.99908268 -0.99830719 -0.99796763 -0.99954252 -0.99963391
"LAYING" 8 0.053458646 -0.1043544 -0.25605618 -0.68352778 0.38422486 0.66719964 -0.09768672 -0.43867442 -0.17410503 -0.11733541 -0.48671887 -0.15305757 -0.20196136 -0.11840818 -0.2248488 -0.99474255 -0.99474255 -0.99275933 -0.99577217 -0.99721207 -0.99187881 -0.99303002 -0.99371209 -0.92074857 -0.5607671 -0.58831269 -0.99206989 -0.99480232 -0.9936981 -0.44265173 -0.82571924 -0.394396 -0.99771052 -0.99445537 -0.99717528 -0.5497815 -0.6620653 -0.86108375 -0.99594307 -0.52278993 -0.9943447 -0.52110687 -0.99675641 -0.60128025 -0.99736103 -0.56199726 -0.31797556 -0.90855514 -0.58619904 -0.57994816 0.46505166 -0.50383115 -0.82346765 -0.9940789 -0.99505324 -0.99619125 -0.99675801 -0.99849524 -0.99914618 -0.9926992 -0.99468603 -0.99528081 -0.99837044 -0.9940996 -0.99792976 -0.99807407 -0.99591005 -0.99819006 -0.99639976 -0.99639976 -0.99497067 -0.99720513 -0.99733864 -0.99521467 -0.99573422 -0.99759361 -0.99419982 -0.99511362 -0.99551488 -0.99856685 -0.99381948 -0.99871698 -0.99693277 -0.9960455 -0.99804669 -0.99709718
"LAYING" 9 0.13125238 -0.036988797 -0.13220875 -0.557921 0.93485035 0.19268678 0.022313824 -0.099020652 -0.1121442 -0.038160415 -0.15031274 0.026805362 -0.186611 -0.09779463 -0.15543727 -0.99421656 -0.99421656 -0.99219443 -0.99497161 -0.99453985 -0.99697963 -0.98673285 -0.99236651 -0.61083751 -0.039075813 -0.42674415 -0.99740935 -0.98537048 -0.99519563 -0.12138774 -0.10472294 -0.24032425 -0.9911283 -0.99258997 -0.99755697 -0.42621059 -0.44896722 -0.35605771 -0.99498851 -0.44171134 -0.99313531 -0.72831363 -0.9931578 -0.3670997 -0.99514483 -0.35571733 -0.5451082 -0.87942597 -0.76295844 -0.95895172 0.55893137 -0.87548749 -0.2184739 -0.99611334 -0.99057606 -0.99390731 -0.9995483 -0.99948077 -0.99684077 -0.99765739 -0.98459599 -0.99617198 -0.99384772 -0.99404349 -0.99814187 -0.99367235 -0.99378523 -0.99776723 -0.99557696 -0.99557696 -0.9935548 -0.99308721 -0.99477983 -0.99655486 -0.99257459 -0.99465108 -0.99819968 -0.98540547 -0.99567159 -0.99500551 -0.99513267 -0.99854601 -0.99713474 -0.99278637 -0.99496982 -0.99506356
"LAYING" 10 -0.36723978 -0.047478082 -0.32763493 -0.48979724 0.93227999 -0.042282939 -0.046895241 -0.43722369 -0.048888906 -0.051670541 -0.19829491 0.053807797 -0.20665611 -0.13170249 -0.1874055 -0.99247246 -0.99247246 -0.99045852 -0.9859141 -0.99267262 -0.99526929 -0.98496542 -0.99242894 -0.59637084 -0.38821126 -0.42111992 -0.99510276 -0.98181355 -0.99473304 -0.30296557 -0.34275314 -0.47054631 -0.98815217 -0.98636287 -0.99259786 -0.48344578 -0.40268579 -0.33739433 -0.99300048 -0.33416494 -0.99418066 -0.24398512 -0.9898247 -0.32378544 -0.99268266 -0.31744929 -0.86836146 -0.89802575 -0.66354475 -0.96556103 0.43292504 -1 -0.2106602 -0.99610956 -0.99007261 -0.98970883 -0.99914357 -0.99905269 -0.99837714 -0.99560638 -0.982353 -0.99624298 -0.99034563 -0.9879517 -0.99388418 -0.99130275 -0.99225311 -0.99449307 -0.99494298 -0.99494298 -0.9941418 -0.98929827 -0.99245787 -0.99665303 -0.99314779 -0.98991797 -0.99668977 -0.98435498 -0.99641726 -0.99097174 -0.98907388 -0.99489573 -0.99658047 -0.99290248 -0.99131974 -0.99222541
